Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-29 00:00:00-04:00,9.779999732971191,9.800000190734863,9.777999877929688,9.800000190734863,3500,0.0,0.0
2019-04-01 00:00:00-04:00,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,1000,0.0,0.0
2019-04-02 00:00:00-04:00,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,500,0.0,0.0
2019-04-03 00:00:00-04:00,9.779999732971191,9.800000190734863,9.779999732971191,9.800000190734863,21000,0.0,0.0
2019-04-04 00:00:00-04:00,9.75,9.800000190734863,9.75,9.800000190734863,20400,0.0,0.0
2019-04-05 00:00:00-04:00,9.779999732971191,9.795000076293945,9.779999732971191,9.789999961853027,253800,0.0,0.0
2019-04-08 00:00:00-04:00,9.770000457763672,9.789999961853027,9.770000457763672,9.789999961853027,33000,0.0,0.0
2019-04-09 00:00:00-04:00,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,1090000,0.0,0.0
2019-04-10 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,48600,0.0,0.0
2019-04-11 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-04-12 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-04-15 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-04-16 00:00:00-04:00,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,2100,0.0,0.0
2019-04-17 00:00:00-04:00,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,0.0,0.0
2019-04-18 00:00:00-04:00,9.789999961853027,9.800000190734863,9.779999732971191,9.789999961853027,286900,0.0,0.0
2019-04-22 00:00:00-04:00,9.819999694824219,9.819999694824219,9.819999694824219,9.819999694824219,500,0.0,0.0
2019-04-23 00:00:00-04:00,9.819999694824219,9.819999694824219,9.819999694824219,9.819999694824219,0,0.0,0.0
2019-04-24 00:00:00-04:00,9.819999694824219,9.819999694824219,9.819999694824219,9.819999694824219,500,0.0,0.0
2019-04-25 00:00:00-04:00,9.819999694824219,9.829999923706055,9.819999694824219,9.829999923706055,5600,0.0,0.0
2019-04-26 00:00:00-04:00,9.789999961853027,9.789999961853027,9.770000457763672,9.770000457763672,900,0.0,0.0
2019-04-29 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-04-30 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-05-01 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-05-02 00:00:00-04:00,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0.0,0.0
2019-05-03 00:00:00-04:00,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,1000,0.0,0.0
2019-05-06 00:00:00-04:00,9.779999732971191,9.859999656677246,9.779999732971191,9.859999656677246,150900,0.0,0.0
2019-05-07 00:00:00-04:00,9.880000114440918,9.880000114440918,9.850000381469727,9.850000381469727,900,0.0,0.0
2019-05-08 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0.0,0.0
2019-05-09 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0.0,0.0
2019-05-10 00:00:00-04:00,9.84000015258789,9.850000381469727,9.829999923706055,9.850000381469727,50300,0.0,0.0
2019-05-13 00:00:00-04:00,9.850000381469727,9.85099983215332,9.850000381469727,9.85099983215332,5000,0.0,0.0
2019-05-14 00:00:00-04:00,9.850000381469727,9.850000381469727,9.84000015258789,9.850000381469727,500,0.0,0.0
2019-05-15 00:00:00-04:00,9.84000015258789,9.869999885559082,9.84000015258789,9.869999885559082,5300,0.0,0.0
2019-05-16 00:00:00-04:00,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,500,0.0,0.0
2019-05-17 00:00:00-04:00,9.84000015258789,9.84000015258789,9.829999923706055,9.84000015258789,2200,0.0,0.0
2019-05-20 00:00:00-04:00,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,0,0.0,0.0
2019-05-21 00:00:00-04:00,9.829999923706055,9.869999885559082,9.8100004196167,9.859999656677246,129500,0.0,0.0
2019-05-22 00:00:00-04:00,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,43400,0.0,0.0
2019-05-23 00:00:00-04:00,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,0,0.0,0.0
2019-05-24 00:00:00-04:00,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,0,0.0,0.0
2019-05-28 00:00:00-04:00,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,100,0.0,0.0
2019-05-29 00:00:00-04:00,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,0,0.0,0.0
2019-05-30 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,600,0.0,0.0
2019-05-31 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0.0,0.0
2019-06-03 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,100,0.0,0.0
2019-06-04 00:00:00-04:00,9.890000343322754,9.890000343322754,9.859999656677246,9.859999656677246,400,0.0,0.0
2019-06-05 00:00:00-04:00,9.859999656677246,9.880000114440918,9.859999656677246,9.87600040435791,7000,0.0,0.0
2019-06-06 00:00:00-04:00,9.87600040435791,9.87600040435791,9.87600040435791,9.87600040435791,0,0.0,0.0
2019-06-07 00:00:00-04:00,9.87600040435791,9.87600040435791,9.87600040435791,9.87600040435791,100,0.0,0.0
2019-06-10 00:00:00-04:00,9.87600040435791,9.87600040435791,9.87600040435791,9.87600040435791,0,0.0,0.0
2019-06-11 00:00:00-04:00,9.869999885559082,9.880000114440918,9.869999885559082,9.880000114440918,28200,0.0,0.0
2019-06-12 00:00:00-04:00,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,0.0,0.0
2019-06-13 00:00:00-04:00,9.899999618530273,9.970000267028809,9.899999618530273,9.899999618530273,152000,0.0,0.0
2019-06-14 00:00:00-04:00,9.899999618530273,9.899999618530273,9.880000114440918,9.899999618530273,22600,0.0,0.0
2019-06-17 00:00:00-04:00,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,100,0.0,0.0
2019-06-18 00:00:00-04:00,9.949999809265137,9.949999809265137,9.899999618530273,9.899999618530273,1500,0.0,0.0
2019-06-19 00:00:00-04:00,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,11000,0.0,0.0
2019-06-20 00:00:00-04:00,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,100,0.0,0.0
2019-06-21 00:00:00-04:00,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,0.0,0.0
2019-06-24 00:00:00-04:00,9.899999618530273,9.899999618530273,9.895000457763672,9.895000457763672,200,0.0,0.0
2019-06-25 00:00:00-04:00,9.920000076293945,9.920000076293945,9.899999618530273,9.899999618530273,3200,0.0,0.0
2019-06-26 00:00:00-04:00,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,2000,0.0,0.0
2019-06-27 00:00:00-04:00,9.90999984741211,9.949999809265137,9.899999618530273,9.899999618530273,4000,0.0,0.0
2019-06-28 00:00:00-04:00,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,100,0.0,0.0
2019-07-01 00:00:00-04:00,9.899999618530273,9.90999984741211,9.899999618530273,9.899999618530273,32000,0.0,0.0
2019-07-02 00:00:00-04:00,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,100,0.0,0.0
2019-07-03 00:00:00-04:00,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,0.0,0.0
2019-07-05 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,300,0.0,0.0
2019-07-08 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,0,0.0,0.0
2019-07-09 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,0,0.0,0.0
2019-07-10 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,0,0.0,0.0
2019-07-11 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,0,0.0,0.0
2019-07-12 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,0,0.0,0.0
2019-07-15 00:00:00-04:00,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,100,0.0,0.0
2019-07-16 00:00:00-04:00,9.9399995803833,10.229999542236328,9.9399995803833,9.949999809265137,701300,0.0,0.0
2019-07-17 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,5300,0.0,0.0
2019-07-18 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-07-19 00:00:00-04:00,9.970000267028809,9.970000267028809,9.9399995803833,9.9399995803833,28600,0.0,0.0
2019-07-22 00:00:00-04:00,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,0,0.0,0.0
2019-07-23 00:00:00-04:00,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,0,0.0,0.0
2019-07-24 00:00:00-04:00,9.979999542236328,10.32800006866455,9.9399995803833,10.09000015258789,38100,0.0,0.0
2019-07-25 00:00:00-04:00,10.069999694824219,10.069999694824219,10.069999694824219,10.069999694824219,400,0.0,0.0
2019-07-26 00:00:00-04:00,10.069999694824219,10.069999694824219,10.069999694824219,10.069999694824219,100,0.0,0.0
2019-07-29 00:00:00-04:00,10.020000457763672,10.020000457763672,9.989999771118164,9.989999771118164,1500,0.0,0.0
2019-07-30 00:00:00-04:00,10.010000228881836,10.010000228881836,10.0,10.0,1100,0.0,0.0
2019-07-31 00:00:00-04:00,9.961000442504883,9.961000442504883,9.961000442504883,9.961000442504883,100,0.0,0.0
2019-08-01 00:00:00-04:00,9.772000312805176,9.970000267028809,9.772000312805176,9.970000267028809,4800,0.0,0.0
2019-08-02 00:00:00-04:00,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0,0.0,0.0
2019-08-05 00:00:00-04:00,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,100,0.0,0.0
2019-08-06 00:00:00-04:00,10.149999618530273,10.149999618530273,10.149999618530273,10.149999618530273,500,0.0,0.0
2019-08-07 00:00:00-04:00,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,200,0.0,0.0
2019-08-08 00:00:00-04:00,10.109999656677246,10.109999656677246,10.100000381469727,10.100000381469727,700,0.0,0.0
2019-08-09 00:00:00-04:00,10.050000190734863,10.050000190734863,10.0,10.029999732971191,1000,0.0,0.0
2019-08-12 00:00:00-04:00,10.050000190734863,10.050000190734863,10.0,10.029999732971191,100,0.0,0.0
2019-08-13 00:00:00-04:00,10.0,10.0,10.0,10.0,1000,0.0,0.0
2019-08-14 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-08-15 00:00:00-04:00,9.989999771118164,10.003000259399414,9.989999771118164,9.989999771118164,800,0.0,0.0
2019-08-16 00:00:00-04:00,9.989999771118164,10.020000457763672,9.989999771118164,10.020000457763672,1200,0.0,0.0
2019-08-19 00:00:00-04:00,10.010000228881836,10.010000228881836,10.010000228881836,10.010000228881836,11000,0.0,0.0
2019-08-20 00:00:00-04:00,10.010000228881836,10.010000228881836,10.010000228881836,10.010000228881836,200,0.0,0.0
2019-08-21 00:00:00-04:00,10.010000228881836,10.010000228881836,10.010000228881836,10.010000228881836,0,0.0,0.0
2019-08-22 00:00:00-04:00,9.920000076293945,9.970000267028809,9.899999618530273,9.90999984741211,6400,0.0,0.0
2019-08-23 00:00:00-04:00,9.949999809265137,9.960000038146973,9.949999809265137,9.960000038146973,6100,0.0,0.0
2019-08-26 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-08-27 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-08-28 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-08-29 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,100000,0.0,0.0
2019-08-30 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-03 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-04 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-05 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-06 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-09 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-10 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-11 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,205200,0.0,0.0
2019-09-12 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,225000,0.0,0.0
2019-09-13 00:00:00-04:00,9.960000038146973,9.960000038146973,9.960000038146973,9.960000038146973,0,0.0,0.0
2019-09-16 00:00:00-04:00,9.989999771118164,9.989999771118164,9.949999809265137,9.979999542236328,142900,0.0,0.0
2019-09-17 00:00:00-04:00,9.979999542236328,9.979999542236328,9.979999542236328,9.979999542236328,100,0.0,0.0
2019-09-18 00:00:00-04:00,9.979999542236328,10.0,9.979999542236328,10.0,400,0.0,0.0
2019-09-19 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-09-20 00:00:00-04:00,10.0,10.0,10.0,10.0,100,0.0,0.0
2019-09-23 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-09-24 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-09-25 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-09-26 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-09-27 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-09-30 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-10-01 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-10-02 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0
2019-10-03 00:00:00-04:00,10.0,10.0,10.0,10.0,100,0.0,0.0
2019-10-04 00:00:00-04:00,10.0,10.0,10.0,10.0,400,0.0,0.0
2019-10-07 00:00:00-04:00,9.960000038146973,10.015000343322754,9.960000038146973,10.015000343322754,700100,0.0,0.0
2019-10-08 00:00:00-04:00,10.024999618530273,10.024999618530273,10.024999618530273,10.024999618530273,100,0.0,0.0
2019-10-09 00:00:00-04:00,10.024999618530273,10.024999618530273,10.024999618530273,10.024999618530273,100,0.0,0.0
2019-10-10 00:00:00-04:00,10.024999618530273,10.024999618530273,10.024999618530273,10.024999618530273,0,0.0,0.0
2019-10-11 00:00:00-04:00,10.024999618530273,10.024999618530273,10.024999618530273,10.024999618530273,0,0.0,0.0
2019-10-14 00:00:00-04:00,10.024999618530273,10.024999618530273,10.024999618530273,10.024999618530273,0,0.0,0.0
2019-10-15 00:00:00-04:00,10.024999618530273,10.024999618530273,10.024999618530273,10.024999618530273,0,0.0,0.0
2019-10-16 00:00:00-04:00,10.020000457763672,10.020000457763672,10.0,10.010000228881836,3500,0.0,0.0
2019-10-17 00:00:00-04:00,10.010000228881836,10.010000228881836,10.010000228881836,10.010000228881836,0,0.0,0.0
2019-10-18 00:00:00-04:00,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,400,0.0,0.0
2019-10-21 00:00:00-04:00,10.029999732971191,10.039999961853027,10.0,10.0,1552200,0.0,0.0
2019-10-22 00:00:00-04:00,10.0,10.0,9.989999771118164,9.989999771118164,77000,0.0,0.0
2019-10-23 00:00:00-04:00,9.989999771118164,9.989999771118164,9.989999771118164,9.989999771118164,0,0.0,0.0
2019-10-24 00:00:00-04:00,10.0,10.020000457763672,10.0,10.020000457763672,955700,0.0,0.0
2019-10-25 00:00:00-04:00,10.029999732971191,10.029999732971191,10.0,10.010000228881836,250300,0.0,0.0
2019-10-28 00:00:00-04:00,10.010000228881836,10.020000457763672,10.010000228881836,10.020000457763672,6900,0.0,0.0
2019-10-29 00:00:00-04:00,10.029999732971191,10.029999732971191,10.020000457763672,10.020000457763672,94100,0.0,0.0
2019-10-30 00:00:00-04:00,10.029999732971191,10.079999923706055,10.029999732971191,10.079999923706055,400,0.0,0.0
2019-10-31 00:00:00-04:00,10.069999694824219,10.069999694824219,10.069999694824219,10.069999694824219,200,0.0,0.0
2019-11-01 00:00:00-04:00,10.069999694824219,10.069999694824219,10.069999694824219,10.069999694824219,0,0.0,0.0
2019-11-04 00:00:00-05:00,10.069999694824219,10.069999694824219,10.069999694824219,10.069999694824219,100,0.0,0.0
2019-11-05 00:00:00-05:00,10.039999961853027,10.039999961853027,10.039999961853027,10.039999961853027,1200,0.0,0.0
2019-11-06 00:00:00-05:00,10.039999961853027,10.039999961853027,10.039999961853027,10.039999961853027,400,0.0,0.0
2019-11-07 00:00:00-05:00,10.050000190734863,10.050000190734863,10.029999732971191,10.029999732971191,5800,0.0,0.0
2019-11-08 00:00:00-05:00,10.029999732971191,10.062999725341797,10.029999732971191,10.062999725341797,2600,0.0,0.0
2019-11-11 00:00:00-05:00,10.062999725341797,10.062999725341797,10.062999725341797,10.062999725341797,0,0.0,0.0
2019-11-12 00:00:00-05:00,10.062999725341797,10.062999725341797,10.062999725341797,10.062999725341797,0,0.0,0.0
2019-11-13 00:00:00-05:00,10.029999732971191,10.050000190734863,10.029999732971191,10.050000190734863,8400,0.0,0.0
2019-11-14 00:00:00-05:00,10.031000137329102,10.050000190734863,10.031000137329102,10.050000190734863,1200,0.0,0.0
2019-11-15 00:00:00-05:00,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,200,0.0,0.0
2019-11-18 00:00:00-05:00,10.020000457763672,10.020000457763672,10.020000457763672,10.020000457763672,1100,0.0,0.0
2019-11-19 00:00:00-05:00,10.020000457763672,10.020000457763672,10.020000457763672,10.020000457763672,100,0.0,0.0
2019-11-20 00:00:00-05:00,10.020000457763672,10.020000457763672,10.020000457763672,10.020000457763672,100,0.0,0.0
2019-11-21 00:00:00-05:00,10.024999618530273,10.029999732971191,10.024999618530273,10.029999732971191,1100,0.0,0.0
2019-11-22 00:00:00-05:00,10.039999961853027,10.039999961853027,10.029999732971191,10.039999961853027,1800,0.0,0.0
2019-11-25 00:00:00-05:00,10.039999961853027,10.039999961853027,10.039999961853027,10.039999961853027,0,0.0,0.0
2019-11-26 00:00:00-05:00,10.0600004196167,10.0600004196167,10.0600004196167,10.0600004196167,10600,0.0,0.0
2019-11-27 00:00:00-05:00,10.0600004196167,10.0600004196167,10.0600004196167,10.0600004196167,0,0.0,0.0
2019-11-29 00:00:00-05:00,10.039999961853027,10.067000389099121,10.039999961853027,10.050000190734863,6100,0.0,0.0
2019-12-02 00:00:00-05:00,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0,0.0,0.0
2019-12-03 00:00:00-05:00,10.0600004196167,10.0600004196167,10.020000457763672,10.020000457763672,2100,0.0,0.0
2019-12-04 00:00:00-05:00,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,39400,0.0,0.0
2019-12-05 00:00:00-05:00,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0,0.0,0.0
2019-12-06 00:00:00-05:00,10.0600004196167,10.0600004196167,10.0600004196167,10.0600004196167,500,0.0,0.0
2019-12-09 00:00:00-05:00,10.220000267028809,10.220000267028809,10.1899995803833,10.1899995803833,2433400,0.0,0.0
2019-12-10 00:00:00-05:00,10.1899995803833,10.199999809265137,10.149999618530273,10.199999809265137,5300,0.0,0.0
2019-12-11 00:00:00-05:00,10.1899995803833,10.199999809265137,10.140000343322754,10.1899995803833,6100,0.0,0.0
2019-12-12 00:00:00-05:00,10.1899995803833,10.1899995803833,10.149999618530273,10.1899995803833,25100,0.0,0.0
2019-12-13 00:00:00-05:00,10.15999984741211,10.15999984741211,10.15999984741211,10.15999984741211,2500,0.0,0.0
2019-12-16 00:00:00-05:00,10.149999618530273,10.1899995803833,10.149999618530273,10.1899995803833,9400,0.0,0.0
2019-12-17 00:00:00-05:00,10.1899995803833,10.1899995803833,10.1899995803833,10.1899995803833,0,0.0,0.0
2019-12-18 00:00:00-05:00,10.1899995803833,10.1899995803833,10.1899995803833,10.1899995803833,0,0.0,0.0
2019-12-19 00:00:00-05:00,10.149999618530273,10.1899995803833,10.149999618530273,10.180000305175781,388800,0.0,0.0
2019-12-20 00:00:00-05:00,10.1899995803833,10.1899995803833,10.1899995803833,10.1899995803833,215100,0.0,0.0
2019-12-23 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,16200,0.0,0.0
2019-12-24 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,0,0.0,0.0
2019-12-26 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,0,0.0,0.0
2019-12-27 00:00:00-05:00,10.15999984741211,10.15999984741211,10.15999984741211,10.15999984741211,600,0.0,0.0
2019-12-30 00:00:00-05:00,10.15999984741211,10.15999984741211,10.15999984741211,10.15999984741211,150000,0.0,0.0
2019-12-31 00:00:00-05:00,10.170000076293945,10.180000305175781,10.170000076293945,10.180000305175781,25000,0.0,0.0
2020-01-02 00:00:00-05:00,10.229999542236328,10.229999542236328,10.180000305175781,10.199999809265137,14500,0.0,0.0
2020-01-03 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2020-01-06 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2020-01-07 00:00:00-05:00,10.15999984741211,10.15999984741211,10.15999984741211,10.15999984741211,1000,0.0,0.0
2020-01-08 00:00:00-05:00,10.1899995803833,10.1899995803833,10.149999618530273,10.149999618530273,10300,0.0,0.0
2020-01-09 00:00:00-05:00,10.170000076293945,10.194999694824219,10.15999984741211,10.180000305175781,131600,0.0,0.0
2020-01-10 00:00:00-05:00,10.15999984741211,10.1899995803833,10.149999618530273,10.154999732971191,49000,0.0,0.0
2020-01-13 00:00:00-05:00,10.170000076293945,10.170000076293945,10.170000076293945,10.170000076293945,300,0.0,0.0
2020-01-14 00:00:00-05:00,10.149999618530273,10.170000076293945,10.149999618530273,10.163999557495117,2900,0.0,0.0
2020-01-15 00:00:00-05:00,10.170000076293945,10.170000076293945,10.170000076293945,10.170000076293945,131300,0.0,0.0
2020-01-16 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,238400,0.0,0.0
2020-01-17 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,12600,0.0,0.0
2020-01-21 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,0,0.0,0.0
2020-01-22 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,65200,0.0,0.0
2020-01-23 00:00:00-05:00,10.180000305175781,10.180000305175781,10.180000305175781,10.180000305175781,900,0.0,0.0
2020-01-24 00:00:00-05:00,10.199999809265137,10.220000267028809,10.199999809265137,10.208000183105469,51000,0.0,0.0
2020-01-27 00:00:00-05:00,10.208000183105469,10.208000183105469,10.208000183105469,10.208000183105469,0,0.0,0.0
2020-01-28 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,10500,0.0,0.0
2020-01-29 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,23900,0.0,0.0
2020-01-30 00:00:00-05:00,10.199999809265137,10.220000267028809,10.199999809265137,10.220000267028809,4700,0.0,0.0
2020-01-31 00:00:00-05:00,10.196999549865723,10.196999549865723,10.196999549865723,10.196999549865723,300,0.0,0.0
2020-02-03 00:00:00-05:00,10.220000267028809,10.220000267028809,10.180000305175781,10.180000305175781,600,0.0,0.0
2020-02-04 00:00:00-05:00,10.21399974822998,10.229999542236328,10.21399974822998,10.229999542236328,96800,0.0,0.0
2020-02-05 00:00:00-05:00,10.180000305175781,10.180000305175781,10.149999618530273,10.180000305175781,15000,0.0,0.0
2020-02-06 00:00:00-05:00,10.239999771118164,10.239999771118164,10.239999771118164,10.239999771118164,200,0.0,0.0
2020-02-07 00:00:00-05:00,10.239999771118164,10.239999771118164,10.239999771118164,10.239999771118164,0,0.0,0.0
2020-02-10 00:00:00-05:00,10.239999771118164,10.239999771118164,10.239999771118164,10.239999771118164,0,0.0,0.0
2020-02-11 00:00:00-05:00,10.239999771118164,10.239999771118164,10.239999771118164,10.239999771118164,0,0.0,0.0
2020-02-12 00:00:00-05:00,10.220000267028809,10.220000267028809,10.220000267028809,10.220000267028809,500,0.0,0.0
2020-02-13 00:00:00-05:00,10.220000267028809,10.220000267028809,10.220000267028809,10.220000267028809,0,0.0,0.0
